Model year,Make,Model,Vehicle class,Motor (kW),Engine size (L),Cylinders,Transmission,Fuel type 1,Combined Le/100 km,Range 1 (km),Recharge time (h),Fuel type 2,City (L/100 km),Highway (L/100 km),Combined (L/100 km),Range 2 (km),CO2 emissions (g/km),CO2 rating,Smog rating
2012-01-01,Chevrolet,Volt,Compact,111,1,4,AV,B,2.5 (22.3 kWh/100 km),56,4,Z,6,5,6,550,54,,
2013-01-01,Chevrolet,Volt,Compact,111,1,4,AV,B,2.4 (21.4 kWh/100 km),61,4,Z,6,5,6,550,45,,
2013-01-01,Ford,C-MAX Energi,Mid-size,35,2,4,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2,X,5,6,6,856,80,,
2013-01-01,Ford,Fusion Energi,Mid-size,35,2,4,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2,X,5,6,6,856,80,,
2013-01-01,Toyota,Prius Plug-in Hybrid,Mid-size,60,1,4,AV,B/X,2.5 ([18.0 kWh + 0.4 L]/100 km),18,1,X,4,4,4,845,101,,
2014-01-01,Cadillac,ELR,Compact,117,1,4,AV,B,2.9 (25.3 kWh/100 km),59,5,Z,7,6,7,493,50,,
2014-01-01,Chevrolet,Volt,Compact,111,1,4,AV,B,2.4 (21.4 kWh/100 km),61,4,Z,6,5,6,550,45,,
2014-01-01,Ford,C-MAX Energi,Mid-size,35,2,4,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2,X,5,6,6,856,80,,
2014-01-01,Ford,Fusion Energi,Mid-size,35,2,4,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2,X,5,6,6,856,80,,
2014-01-01,Porsche,Panamera S E-Hybrid,Full-size,71,3,6,A8,B/Z,4.6 ([31.7 kWh + 1.0 L]/100 km),26,3,Z,10,8,9,871,142,,
2014-01-01,Toyota,Prius Plug-in Hybrid,Mid-size,60,1,4,AV,B/X,2.5 ([18.0 kWh + 0.4 L]/100 km),18,1,X,4,4,4,845,101,,
2015-01-01,BMW,i3 REx,Subcompact,125,0,2,A1,B,2.0 (17.9 kWh/100 km),116,4,Z,5,6,6,119,22,,
2015-01-01,BMW,i8,Subcompact,96,1,3,A6,B/Z,3.1 ([26.9 kWh + 0.2 L]/100 km),24,2,Z,8,8,8,509,123,,
2015-01-01,Chevrolet,Volt,Compact,111,1,4,AV,B,2.4 (21.4 kWh/100 km),61,4,Z,6,5,6,547,50,,
2015-01-01,Ford,C-MAX Energi,Mid-size,35,2,4,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2,X,5,6,6,856,80,,
2015-01-01,Ford,Fusion Energi,Mid-size,35,2,4,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2,X,5,6,6,856,80,,
2015-01-01,Porsche,918 Spyder,Two-seater,157,4,8,A7,B,3.4 (30.7 kWh/100 km),21,3,Z,11,10,10,649,172,,
2015-01-01,Porsche,Cayenne S E-Hybrid,Sport utility vehicle: Standard,71,3,6,A8,B,5.0 (43.2 kWh/100 km),24,3,Z,11,9,10,758,162,,
2015-01-01,Porsche,Panamera S E-Hybrid,Full-size,71,3,6,A8,B/Z,4.6 ([31.7 kWh + 1.0 L]/100 km),26,3,Z,10,8,9,871,142,,
2015-01-01,Toyota,Prius Plug-in Hybrid,Mid-size,60,1,4,AV,B/X,2.5 ([18.0 kWh + 0.4 L]/100 km),18,1,X,4,4,4,845,101,,
2016-01-01,Audi,A3 e-tron,Compact,80,1,4,A6,B/Z*,2.8 ([25.2 kWh + 0.0 L]/100 km),26,2,Z,7,6,6,591,98,10,
2016-01-01,Audi,A3 e-tron ultra,Compact,80,1,4,A6,B/Z*,2.7 ([23.9 kWh + 0.0 L]/100 km),27,2,Z,6,5,6,663,85,10,
2016-01-01,BMW,330e,Compact,65,2,4,AS8,B/Z*,3.3 ([29.1 kWh + 0.0 L]/100 km),23,2,Z,8,6,7,562,113,10,
2016-01-01,BMW,i3 REx,Subcompact,125,0,2,A1,B,2.0 (17.9 kWh/100 km),116,4,Z,5,6,6,119,22,10,
2016-01-01,BMW,i8,Subcompact,96,1,3,A6,B/Z,3.1 ([26.9 kWh + 0.2 L]/100 km),24,2,Z,8,8,8,509,123,9,
2016-01-01,BMW,X5 xDrive40e,Sport utility vehicle: Standard,83,2,4,AS8,B/Z*,4.2 ([36.8 kWh + 0.0 L]/100 km),23,3,Z,10,9,9,842,153,8,
2016-01-01,Cadillac,ELR,Subcompact,174,1,4,AV,B,2.7 (24.4 kWh/100 km),64,5,Z,7,7,7,480,57,10,
2016-01-01,Cadillac,ELR (Performance Pkg),Subcompact,174,1,4,AV,B,2.9 (26.2 kWh/100 km),58,5,Z,8,7,7,457,65,10,
2016-01-01,Chevrolet,Volt,Compact,111,1,4,AV,B,2.2 (19.9 kWh/100 km),85,4,X,5,5,5,591,32,10,
2016-01-01,Ford,C-MAX Energi,Mid-size,35,2,4,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2,X,5,6,6,856,80,10,
2016-01-01,Ford,Fusion Energi,Mid-size,35,2,4,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2,X,5,6,6,856,80,10,
2016-01-01,Hyundai,Sonata Plug-in Hybrid,Mid-size,50,2,4,AM6,B/X*,2.4 ([21.1 kWh + 0.0 L]/100 km),43,2,X,6,5,5,925,63,10,
2016-01-01,Mercedes-Benz,S 550e,Full-size,85,3,6,AS7,B/Z*,4.1 ([36.7 kWh + 0.0 L]/100 km),23,2,Z,10,7,9,695,141,9,
2016-01-01,Porsche,Cayenne S E-Hybrid,Sport utility vehicle: Standard,71,3,6,A8,B,5.0 (43.2 kWh/100 km),24,3,Z,11,9,10,758,162,8,
2016-01-01,Porsche,Panamera S E-Hybrid,Full-size,71,3,6,A8,B/Z,4.6 ([31.7 kWh + 1.0 L]/100 km),26,3,Z,10,8,9,871,142,9,
2016-01-01,Volvo,XC90 T8 AWD,Sport utility vehicle: Standard,65,2,4,AS8,B/Z*,4.6 ([40.4 kWh + 0.0 L]/100 km),21,3,Z,10,8,9,529,150,8,
2017-01-01,Audi,A3 e-tron,Compact,80,1,4,A6,B/Z*,2.8 ([25.5 kWh + 0.0 L]/100 km),26,2,Z,7,6,6,579,98,10,8
2017-01-01,BMW,330e,Compact,65,2,4,AS8,B/Z*,3.3 ([29.5 kWh + 0.0 L]/100 km),23,2,Z,8,6,7,533,118,10,6
2017-01-01,BMW,740e xDrive,Full-size,83,2,4,AS8,B/Z*,3.6 ([32.1 kWh + 0.0 L]/100 km),23,3,Z,9,8,8,525,133,9,6
2017-01-01,BMW,i3 REx (94 Ah),Subcompact,125,0,2,A1,B,2.1 (18.9 kWh/100 km),156,5,Z,6,7,6,129,18,10,8
2017-01-01,BMW,i8,Subcompact,96,1,3,A6,B/Z,3.1 ([26.9 kWh + 0.2 L]/100 km),24,2,Z,8,8,8,509,123,10,6
2017-01-01,BMW,X5 xDrive40e,Sport utility vehicle: Standard,83,2,4,AS8,B/Z*,4.2 ([36.8 kWh + 0.0 L]/100 km),23,3,Z,10,9,9,840,154,8,6
2017-01-01,Cadillac,CT6 Plug-in Hybrid,Mid-size,178,2,4,AV,B/Z*,3.8 ([33.7 kWh + 0.0 L]/100 km),50,4,Z,10,8,9,658,89,10,6
2017-01-01,Chevrolet,Volt,Compact,111,1,4,AV,B,2.2 (19.9 kWh/100 km),85,4,X,5,5,5,591,32,10,6
2017-01-01,Chrysler,Pacifica Hybrid,Minivan,89,3,6,AV,B/X*,2.8 ([24.9 kWh + 0.0 L]/100 km),53,2,X,7,7,7,858,66,10,8
2017-01-01,Ford,C-MAX Energi,Mid-size,35,2,4,AV,B/X*,2.5 ([22.0 kWh + 0.0 L]/100 km),33,2,X,5,6,6,884,76,10,8
2017-01-01,Ford,Fusion Energi,Mid-size,35,2,4,AV,B/X*,2.4 ([21.5 kWh + 0.0 L]/100 km),35,2,X,5,5,5,947,70,10,8
2017-01-01,Hyundai,Sonata Plug-in Hybrid,Mid-size,50,2,4,AM6,B/X*,2.4 ([21.1 kWh + 0.0 L]/100 km),43,2,X,6,5,6,901,65,10,8
2017-01-01,Karma,Revero,Subcompact,300,2,4,A1,B,4.6 (41.0 kWh/100 km),51,3,Z,13,12,12,303,114,10,5
2017-01-01,Kia,Optima Plug-in Hybrid,Mid-size,50,2,4,AM6,B/X*,2.3 ([20.3 kWh + 0.0 L]/100 km),47,2,X,6,5,5,935,60,10,8
2017-01-01,Mercedes-Benz,GLE 550e 4MATIC,Sport utility vehicle: Standard,85,3,6,AS7,B/Z,5.5 ([42.7 kWh + 0.8 L]/100 km),19,1,Z,11,10,11,719,184,7,6
2017-01-01,Mercedes-Benz,S 550e,Full-size,85,3,6,AS7,B/Z*,4.1 ([36.7 kWh + 0.0 L]/100 km),23,2,Z,10,7,9,702,142,9,6
2017-01-01,Porsche,Cayenne S E-Hybrid,Sport utility vehicle: Standard,71,3,6,A8,B,5.1 (44.2 kWh/100 km),23,3,Z,11,9,10,768,160,8,6
2017-01-01,Toyota,Prius Prime,Mid-size,71,1,4,AV,B/X*,1.8 ([15.8 kWh + 0.0 L]/100 km),40,2,X,4,4,4,995,49,10,8
2017-01-01,Volvo,XC90 T8 AWD,Sport utility vehicle: Standard,65,2,4,AS8,B/Z*,4.8 ([47.3 kWh + 0.0 L]/100 km),21,3,Z,10,8,9,529,148,8,8
2018-01-01,Audi,A3 e-tron,Compact,80,1,4,AM6,B/Z*,2.8 ([25.2 kWh + 0.0 L]/100 km),26,2,Z,6,6,6,623,93,10,7
2018-01-01,BMW,330e,Compact,65,2,4,AS8,B/Z*,3.3 ([29.5 kWh + 0.0 L]/100 km),23,2,Z,8,6,7,533,118,10,3
2018-01-01,BMW,530e,Compact,83,2,4,AS8,B/Z*,3.3 ([28.5 kWh + 0.0 L]/100 km),26,2,Z,8,7,8,560,120,10,7
2018-01-01,BMW,530e xDrive,Compact,83,2,4,AS8,B/Z*,3.5 ([30.2 kWh + 0.0 L]/100 km),24,2,Z,8,7,8,554,124,10,7
2018-01-01,BMW,740e xDrive,Full-size,83,2,4,AS8,B/Z*,3.6 ([32.1 kWh + 0.0 L]/100 km),23,3,Z,9,8,8,525,133,9,3
2018-01-01,BMW,i3 REx,Subcompact,125,0,2,A1,B,2.2 (19.1 kWh/100 km),156,5,Z,6,7,6,129,18,10,7
2018-01-01,BMW,i3s REx,Subcompact,135,0,2,A1,B,2.2 (19.1 kWh/100 km),156,5,Z,6,7,6,129,18,10,7
2018-01-01,BMW,X5 xDrive40e,Sport utility vehicle: Standard,83,2,4,AS8,B/Z*,4.2 ([36.9 kWh + 0.0 L]/100 km),23,3,Z,10,9,9,842,154,8,3
2018-01-01,Cadillac,CT6 Plug-in Hybrid,Mid-size,178,2,4,AV,B/Z*,3.8 ([33.7 kWh + 0.0 L]/100 km),50,4,Z,10,8,9,642,89,10,3
2018-01-01,Chevrolet,Volt,Compact,111,1,4,AV,B,2.2 (19.9 kWh/100 km),85,4,X,5,5,5,591,32,10,3
2018-01-01,Chrysler,Pacifica Hybrid,Minivan,89,3,6,AV,B/X*,2.8 ([24.9 kWh + 0.0 L]/100 km),53,2,X,7,7,7,858,66,10,7
2018-01-01,Ford,Fusion Energi,Mid-size,35,2,4,AV,B/X*,2.4 ([21.5 kWh + 0.0 L]/100 km),35,2,X,5,5,5,947,70,10,7
2018-01-01,Honda,Clarity Plug-in Hybrid,Mid-size,135,1,4,AV,B/X*,2.1 ([19.0 kWh + 0.0 L]/100 km),77,2,X,5,5,5,475,36,10,8
2018-01-01,Hyundai,IONIQ Electric Plus,Mid-size,45,1,4,AM6,B/X*,2.0 ([17.7 kWh + 0.0 L]/100 km),47,2,X,4,4,4,961,46,10,7
2018-01-01,Karma,Revero,Subcompact,300,2,4,A1,B,3.9 (34.7 kWh/100 km),60,3,Z,11,11,11,328,94,10,1
2018-01-01,Kia,Optima Plug-in Hybrid,Mid-size,50,2,4,AM6,B/X*,2.3 ([20.3 kWh + 0.0 L]/100 km),47,2,X,6,5,5,935,60,10,7
2018-01-01,Mercedes-Benz,GLC 350e 4MATIC,Sport utility vehicle: Small,85,2,4,A7,B/Z*,4.2 ([36.5 kWh + 0.0 L]/100 km),21,1,Z,9,8,9,541,146,9,7
2018-01-01,Mercedes-Benz,GLE 550e 4MATIC,Sport utility vehicle: Standard,85,3,6,AS7,B/Z,5.5 ([42.6 kWh + 0.8 L]/100 km),19,1,Z,11,10,11,719,184,7,6
2018-01-01,MINI,Cooper SE Countryman ALL4,Mid-size,65,1,3,AS6,B/Z*,3.6 ([31.4 kWh + 0.0 L]/100 km),19,3,Z,8,8,8,420,139,9,3
2018-01-01,Mitsubishi,Outlander PHEV AWD,Sport utility vehicle: Small,60,2,4,A1,B/X*,3.2 ([27.7 kWh + 0.0 L]/100 km),35,3,X,9,9,9,463,108,10,7
2018-01-01,Porsche,Cayenne S E-Hybrid,Sport utility vehicle: Standard,71,3,6,AM8,B,5.1 (44.2 kWh/100 km),23,3,Z,11,9,10,768,160,8,3
2018-01-01,Toyota,Prius Prime,Mid-size,71,1,4,AV,B/X*,1.8 ([15.8 kWh + 0.0 L]/100 km),40,2,X,4,4,4,995,49,10,7
2018-01-01,Volvo,S90 T8 AWD,Mid-size,65,2,4,AS8,B/Z*,3.2 ([27.7 kWh + 0.0 L]/100 km),34,3,Z,8,7,8,621,100,10,7
2018-01-01,Volvo,XC60 T8 AWD,Sport utility vehicle: Small,65,2,4,AS8,B/Z*,4.0 ([34.9 kWh + 0.0 L]/100 km),27,3,Z,10,8,9,534,133,9,7
2018-01-01,Volvo,XC90 T8 AWD,Sport utility vehicle: Standard,65,2,4,AS8,B/Z*,3.9 ([34.4 kWh + 0.0 L]/100 km),27,3,Z,9,8,9,547,130,9,7
2019-01-01,BMW,530e,Compact,83,2,4,AS8,B/Z*,3.3 ([28.5 kWh + 0.0 L]/100 km),26,2,Z,8,7,8,560,120,10,7
2019-01-01,BMW,530e xDrive,Compact,83,2,4,AS8,B/Z*,3.5 ([30.2 kWh + 0.0 L]/100 km),24,2,Z,8,7,8,554,124,10,7
2019-01-01,BMW,740e xDrive,Full-size,83,2,4,AS8,B/Z*,3.6 ([32.1 kWh + 0.0 L]/100 km),23,3,Z,9,8,8,525,133,9,3
2019-01-01,BMW,i3 REx (120 Ah),Subcompact,125,0,2,A1,B,2.4 (19.9 kWh/100 km),203,7,Z,7,7,7,116,14,10,7
2019-01-01,BMW,i3s REx (120 Ah),Subcompact,135,0,2,A1,B,2.4 (19.9 kWh/100 km),203,7,Z,7,7,7,116,14,10,7
2019-01-01,BMW,i8 Coupe,Subcompact,105,1,3,AS6,B/Z*,3.4 ([30.6 kWh + 0.0 L]/100 km),29,3,Z,9,8,8,488,118,10,3
2019-01-01,BMW,i8 Roadster,Two-seater,105,1,3,AS6,B/Z*,3.4 ([30.6 kWh + 0.0 L]/100 km),29,3,Z,9,8,8,488,118,10,3
2019-01-01,Chevrolet,Volt,Compact,111,1,4,AV,B,2.2 (19.5 kWh/100 km),85,4,X,5,5,5,591,32,10,7
2019-01-01,Chrysler,Pacifica Hybrid,Minivan,89,3,6,AV,B/X*,2.9 ([25.8 kWh + 0.0 L]/100 km),51,2,X,8,7,8,784,74,10,7
2019-01-01,Ford,Fusion Energi,Mid-size,35,2,4,AV,B/X*,2.3 ([20.5 kWh + 0.0 L]/100 km),42,2,X,5,5,5,940,61,10,7
2019-01-01,Honda,Clarity Plug-in Hybrid,Mid-size,135,1,4,AV,B/X*,2.1 ([19.0 kWh + 0.0 L]/100 km),77,2,X,5,5,5,475,36,10,8
2019-01-01,Hyundai,IONIQ Electric Plus,Mid-size,45,1,4,AM6,B/X*,2.0 ([17.7 kWh + 0.0 L]/100 km),47,2,X,4,4,4,961,46,10,7
2019-01-01,Hyundai,Sonata Plug-in Hybrid,Mid-size,50,2,4,AM6,B/X*,2.4 ([20.9 kWh + 0.0 L]/100 km),45,2,X,6,5,6,925,62,10,7
2019-01-01,Karma,Revero,Subcompact,300,2,4,A1,B,3.9 (34.7 kWh/100 km),60,3,Z,11,11,11,328,94,10,1
2019-01-01,Kia,Niro Plug-in Hybrid,Station wagon: Small,45,1,4,AM6,B/X*,2.2 ([19.7 kWh + 0.0 L]/100 km),42,2,X,4,5,5,853,56,10,7
2019-01-01,Kia,Optima Plug-in Hybrid,Mid-size,50,2,4,AM6,B/X*,2.3 ([20.3 kWh + 0.0 L]/100 km),47,2,X,6,5,5,937,60,10,7
2019-01-01,Mercedes-Benz,GLC 350e 4MATIC,Sport utility vehicle: Small,85,2,4,A7,B/Z*,4.2 ([36.5 kWh + 0.0 L]/100 km),21,1,Z,9,8,9,541,146,9,7
2019-01-01,MINI,Cooper SE Countryman ALL4,Mid-size,65,1,3,AS6,B/Z*,3.6 ([31.4 kWh + 0.0 L]/100 km),19,3,Z,8,8,8,420,139,9,3
2019-01-01,Mitsubishi,Outlander PHEV AWD,Sport utility vehicle: Small,60,2,4,A1,B/X*,3.2 ([27.7 kWh + 0.0 L]/100 km),35,3,X,9,9,9,463,108,10,7
2019-01-01,Porsche,Cayenne E-Hybrid,Sport utility vehicle: Standard,99,3,6,AS8,B,5.1 (44.8 kWh/100 km),21,3,Z,11,10,11,669,177,7,3
2019-01-01,Porsche,Panamera 4 E-Hybrid,Full-size,70,2,6,AM8,B,4.6 (40.3 kWh/100 km),23,3,Z,11,9,10,768,158,8,5
2019-01-01,Porsche,Panamera Turbo S E-Hybrid,Full-size,70,4,8,AM8,B,4.9 (41.0 kWh/100 km),23,3,Z,12,10,11,695,180,7,3
2019-01-01,Toyota,Prius Prime,Mid-size,71,1,4,AV,B/X*,1.8 ([15.8 kWh + 0.0 L]/100 km),40,2,X,4,4,4,995,49,10,7
2019-01-01,Volvo,S90 T8 AWD,Mid-size,65,2,4,AS8,B/Z*,3.2 ([27.7 kWh + 0.0 L]/100 km),34,3,Z,8,7,8,753,100,10,7
