Model year,Make,Model,Vehicle class,Motor (kW),Transmission,Fuel type,City (kWh/100 km),Highway (kWh/100 km),Combined (kWh/100 km),City (Le/100 km),Highway (Le/100 km),Combined (Le/100 km),Range (km),CO2 emissions (g/km),CO2 rating ,Smog rating,Recharge time (h),CO2 rating
2012-01-01,Mitsubishi,i-MiEV,Subcompact,49,A1,B,16,21,18,1,2,2,100,0,n/a,,7,
2012-01-01,Nissan,LEAF,Mid-size,80,A1,B,19,23,21,2,2,2,117,0,n/a,,7,
2013-01-01,Ford,Focus Electric,Compact,107,A1,B,19,21,20,2,2,2,122,0,n/a,,4,
2013-01-01,Mitsubishi,i-MiEV,Subcompact,49,A1,B,16,21,18,1,2,2,100,0,n/a,,7,
2013-01-01,Nissan,LEAF,Mid-size,80,A1,B,19,23,21,2,2,2,117,0,n/a,,7,
2013-01-01,smart,fortwo electric drive cabriolet,Two-seater,35,A1,B,17,22,19,1,2,2,109,0,n/a,,8,
2013-01-01,smart,fortwo electric drive coupe,Two-seater,35,A1,B,17,22,19,1,2,2,109,0,n/a,,8,
2013-01-01,Tesla,Model S (40 kWh),Full-size,225,A1,B,22,21,22,2,2,2,224,0,n/a,,6,
2013-01-01,Tesla,Model S (60 kWh),Full-size,225,A1,B,22,21,21,2,2,2,335,0,n/a,,10,
2013-01-01,Tesla,Model S (85 kWh),Full-size,270,A1,B,23,23,23,2,2,2,426,0,n/a,,12,
2013-01-01,Tesla,Model S Performance,Full-size,310,A1,B,23,23,23,2,2,2,426,0,n/a,,12,
2014-01-01,Chevrolet,Spark EV,Subcompact,104,A1,B,16,19,17,1,2,2,131,0,n/a,,7,
2014-01-01,Ford,Focus Electric,Compact,107,A1,B,19,21,20,2,2,2,122,0,n/a,,4,
2014-01-01,Mitsubishi,i-MiEV,Subcompact,49,A1,B,16,21,18,1,2,2,100,0,n/a,,7,
2014-01-01,Nissan,LEAF,Mid-size,80,A1,B,16,20,18,1,2,2,135,0,n/a,,5,
2014-01-01,smart,fortwo electric drive cabriolet,Two-seater,35,A1,B,17,22,19,1,2,2,109,0,n/a,,8,
2014-01-01,smart,fortwo electric drive coupe,Two-seater,35,A1,B,17,22,19,1,2,2,109,0,n/a,,8,
2014-01-01,Tesla,Model S (60 kWh),Full-size,225,A1,B,22,21,21,2,2,2,335,0,n/a,,10,
2014-01-01,Tesla,Model S (85 kWh),Full-size,270,A1,B,23,23,23,2,2,2,426,0,n/a,,12,
2014-01-01,Tesla,Model S Performance,Full-size,310,A1,B,23,23,23,2,2,2,426,0,n/a,,12,
2015-01-01,BMW,i3,Subcompact,125,A1,B,15,18,16,1,2,1,130,0,n/a,,4,
2015-01-01,Chevrolet,Spark EV,Subcompact,104,A1,B,16,19,17,1,2,2,131,0,n/a,,7,
2015-01-01,Ford,Focus Electric,Compact,107,A1,B,19,21,20,2,2,2,122,0,n/a,,4,
2015-01-01,Kia,Soul EV,Station wagon: Small,81,A1,B,17,22,19,2,2,2,149,0,n/a,,4,
2015-01-01,Mitsubishi,i-MiEV,Subcompact,49,A1,B,16,21,18,1,2,2,100,0,n/a,,7,
2015-01-01,Nissan,LEAF,Mid-size,80,A1,B,16,20,18,1,2,2,135,0,n/a,,5,
2015-01-01,smart,fortwo electric drive cabriolet,Two-seater,35,A1,B,17,22,19,1,2,2,109,0,n/a,,8,
2015-01-01,smart,fortwo electric drive coupe,Two-seater,35,A1,B,17,22,19,1,2,2,109,0,n/a,,8,
2015-01-01,Tesla,Model S (60 kWh),Full-size,285,A1,B,22,21,21,2,2,2,335,0,n/a,,10,
2015-01-01,Tesla,Model S (70 kWh),Full-size,285,A1,B,23,23,23,2,2,2,377,0,n/a,,12,
2015-01-01,Tesla,Model S (85/90 kWh),Full-size,285,A1,B,23,23,23,2,2,2,426,0,n/a,,12,
2015-01-01,Tesla,Model S 70D,Full-size,280,A1,B,20,20,20,2,2,2,386,0,n/a,,12,
2015-01-01,Tesla,Model S 85D/90D,Full-size,280,A1,B,22,19,21,2,2,2,435,0,n/a,,12,
2015-01-01,Tesla,Model S P85D/P90D,Full-size,515,A1,B,23,21,22,2,2,2,407,0,n/a,,12,
2016-01-01,BMW,i3,Subcompact,125,A1,B,15,18,16,1,2,1,130,0,10,,4,10
2016-01-01,Chevrolet,Spark EV,Subcompact,104,A1,B,16,19,17,1,2,2,131,0,10,,7,10
2016-01-01,Ford,Focus Electric,Compact,107,A1,B,19,21,20,2,2,2,122,0,10,,4,10
2016-01-01,Kia,Soul EV,Station wagon: Small,81,A1,B,17,22,19,2,2,2,149,0,10,,4,10
2016-01-01,Mitsubishi,i-MiEV,Subcompact,49,A1,B,16,21,18,1,2,2,100,0,10,,7,10
2016-01-01,Nissan,LEAF (24 kWh),Mid-size,80,A1,B,16,20,18,1,2,2,135,0,10,,5,10
2016-01-01,Nissan,LEAF (30 kWh),Mid-size,80,A1,B,17,20,18,1,2,2,172,0,10,,6,10
2016-01-01,smart,fortwo electric drive cabriolet,Two-seater,35,A1,B,17,22,19,1,2,2,109,0,10,,8,10
2016-01-01,smart,fortwo electric drive coupe,Two-seater,35,A1,B,17,22,19,1,2,2,109,0,10,,8,10
2016-01-01,Tesla,Model S (60 kWh pre- 6/16),Full-size,285,A1,B,22,21,21,2,2,2,335,0,10,,10,10
2016-01-01,Tesla,Model S (60 kWh),Full-size,285,A1,B,21,20,21,2,2,2,338,0,10,,10,10
2016-01-01,Tesla,Model S (70 kWh),Full-size,285,A1,B,23,23,23,2,2,2,377,0,10,,12,10
2016-01-01,Tesla,Model S (75 kWh),Full-size,285,A1,B,21,21,21,2,2,2,401,0,10,,12,10
2016-01-01,Tesla,Model S (85/90 kWh),Full-size,285,A1,B,23,23,23,2,2,2,426,0,10,,12,10
2016-01-01,Tesla,Model S 60D,Full-size,386,A1,B,20,19,20,2,2,2,351,0,10,,10,10
2016-01-01,Tesla,Model S 70D,Full-size,386,A1,B,20,20,20,2,2,2,386,0,10,,12,10
2016-01-01,Tesla,Model S 75D,Full-size,386,A1,B,20,19,20,2,2,2,417,0,10,,12,10
2016-01-01,Tesla,Model S 85D/90D,Full-size,386,A1,B,22,19,21,2,2,2,435,0,10,,12,10
2016-01-01,Tesla,Model S 90D (Refresh),Full-size,386,A1,B,20,19,20,2,2,2,473,0,10,,12,10
2016-01-01,Tesla,Model S P85D/P90D,Full-size,568,A1,B,23,21,22,2,2,2,407,0,10,,12,10
2016-01-01,Tesla,Model S P90D (Refresh),Full-size,568,A1,B,22,21,22,2,2,2,435,0,10,,12,10
2016-01-01,Tesla,Model S P100D,Full-size,568,A1,B,22,20,21,2,2,2,507,0,10,,12,10
2016-01-01,Tesla,Model X 60D,Sport utility vehicle: Standard,386,A1,B,23,22,22,2,2,2,322,0,10,,10,10
2016-01-01,Tesla,Model X 75D,Sport utility vehicle: Standard,386,A1,B,23,21,22,2,2,2,383,0,10,,12,10
2016-01-01,Tesla,Model X 90D,Sport utility vehicle: Standard,386,A1,B,23,22,22,2,2,2,414,0,10,,12,10
2016-01-01,Tesla,Model X P90D,Sport utility vehicle: Standard,568,A1,B,23,23,23,2,2,2,402,0,10,,12,10
2016-01-01,Tesla,Model X P100D,Sport utility vehicle: Standard,568,A1,B,25,22,24,2,2,2,465,0,10,,12,10
2017-01-01,BMW,i3 (60 Ah),Subcompact,125,A1,B,15,18,16,1,2,1,130,0,10,10,4,10
2017-01-01,BMW,i3 (94 Ah),Subcompact,125,A1,B,16,19,17,1,2,2,183,0,10,10,5,10
2017-01-01,Chevrolet,Bolt EV,Station wagon: Small,150,A1,B,16,19,17,1,2,2,383,0,10,10,9,10
2017-01-01,Ford,Focus Electric,Compact,107,A1,B,17,21,19,2,2,2,185,0,10,10,5,10
2017-01-01,Hyundai,IONIQ Electric,Mid-size,88,A1,B,13,17,15,1,1,1,200,0,10,10,4,10
2017-01-01,Kia,Soul EV,Station wagon: Small,81,A1,B,17,23,19,2,2,2,150,0,10,10,4,10
2017-01-01,Mitsubishi,i-MiEV,Subcompact,49,A1,B,16,20,18,1,2,2,100,0,10,10,7,10
2017-01-01,Nissan,LEAF,Mid-size,80,A1,B,17,20,18,1,2,2,172,0,10,10,6,10
2017-01-01,Tesla,Model S (60 kWh),Full-size,285,A1,B,21,20,21,2,2,2,338,0,10,10,10,10
2017-01-01,Tesla,Model S (75 kWh),Full-size,285,A1,B,21,21,21,2,2,2,401,0,10,10,12,10
2017-01-01,Tesla,Model S 60D,Full-size,386,A1,B,20,19,20,2,2,2,351,0,10,10,10,10
2017-01-01,Tesla,Model S 75D,Full-size,386,A1,B,20,19,20,2,2,2,417,0,10,10,12,10
2017-01-01,Tesla,Model S 90D,Full-size,386,A1,B,20,19,20,2,2,2,473,0,10,10,12,10
2017-01-01,Tesla,Model S 100D,Full-size,386,A1,B,20,20,20,2,2,2,539,0,10,10,12,10
2017-01-01,Tesla,Model S P90D,Full-size,568,A1,B,22,20,22,2,2,2,435,0,10,10,12,10
2017-01-01,Tesla,Model S P100D,Full-size,568,A1,B,22,20,21,2,2,2,507,0,10,10,12,10
2017-01-01,Tesla,Model X 60D,Sport utility vehicle: Standard,386,A1,B,23,22,22,2,2,2,322,0,10,10,10,10
2017-01-01,Tesla,Model X 75D,Sport utility vehicle: Standard,386,A1,B,23,21,22,2,2,2,383,0,10,10,12,10
2017-01-01,Tesla,Model X 90D,Sport utility vehicle: Standard,386,A1,B,23,22,22,2,2,2,414,0,10,10,12,10
2017-01-01,Tesla,Model X 100D,Sport utility vehicle: Standard,386,A1,B,24,23,24,2,2,2,475,0,10,10,12,10
2017-01-01,Tesla,Model X P90D,Sport utility vehicle: Standard,568,A1,B,23,23,23,2,2,2,402,0,10,10,12,10
2017-01-01,Tesla,Model X P100D,Sport utility vehicle: Standard,568,A1,B,25,22,24,2,2,2,465,0,10,10,12,10
2017-01-01,Volkswagen,e-Golf,Compact,100,A1,B,16,18,17,1,2,2,201,0,10,10,5,10
2018-01-01,BMW,i3,Subcompact,125,A1,B,16,19,17,1,2,2,183,0,10,10,5,10
2018-01-01,BMW,i3s,Subcompact,135,A1,B,17,21,18,1,2,2,172,0,10,10,5,10
2018-01-01,Chevrolet,Bolt EV,Station wagon: Small,150,A1,B,16,19,17,1,2,2,383,0,10,10,9,10
2018-01-01,Ford,Focus Electric,Compact,107,A1,B,17,21,19,2,2,2,185,0,10,10,5,10
2018-01-01,Hyundai,IONIQ Electric,Mid-size,88,A1,B,13,17,15,1,1,1,200,0,10,10,4,10
2018-01-01,Kia,Soul EV,Station wagon: Small,81,A1,B,16,22,19,1,2,2,179,0,10,10,5,10
2018-01-01,Nissan,LEAF,Mid-size,110,A1,B,16,21,18,1,2,2,242,0,10,10,8,10
2018-01-01,smart,fortwo electric drive cabriolet,Two-seater,60,A1,B,18,23,20,2,2,2,92,0,10,10,3,10
2018-01-01,smart,fortwo electric drive coupe,Two-seater,60,A1,B,16,22,19,1,2,2,93,0,10,10,3,10
2018-01-01,Tesla,Model 3 Mid Range,Mid-size,202,A1,B,16,17,17,1,2,1,418,0,10,10,10,10
2018-01-01,Tesla,Model 3 Long Range,Mid-size,202,A1,B,15,17,16,1,1,1,499,0,10,10,10,10
2018-01-01,Tesla,Model 3 Long Range AWD,Mid-size,335,A1,B,17,18,18,2,2,2,499,0,10,10,10,10
2018-01-01,Tesla,Model 3 Long Range AWD Performance,Mid-size,358,A1,B,17,18,18,2,2,2,499,0,10,10,10,10
2018-01-01,Tesla,Model S (75 kWh),Full-size,285,A1,B,21,21,21,2,2,2,401,0,10,10,12,10
2018-01-01,Tesla,Model S 75D,Full-size,386,A1,B,20,19,20,2,2,2,417,0,10,10,12,10
2018-01-01,Tesla,Model S 100D,Full-size,386,A1,B,20,20,20,2,2,2,539,0,10,10,12,10
2018-01-01,Tesla,Model S P100D,Full-size,568,A1,B,22,20,21,2,2,2,507,0,10,10,12,10
2018-01-01,Tesla,Model X 75D,Sport utility vehicle: Standard,386,A1,B,23,21,22,2,2,2,383,0,10,10,12,10
2018-01-01,Tesla,Model X 100D,Sport utility vehicle: Standard,386,A1,B,24,23,24,2,2,2,475,0,10,10,12,10
2018-01-01,Tesla,Model X P100D,Sport utility vehicle: Standard,568,A1,B,25,23,24,2,2,2,465,0,10,10,12,10
2018-01-01,Volkswagen,e-Golf,Compact,100,A1,B,16,18,17,1,2,2,201,0,10,10,5,10
2019-01-01,Audi,e-tron 55 quattro,Sport utility vehicle: Standard,300,A1,B,28,28,28,3,3,3,329,0,10,10,10,10
2019-01-01,BMW,i3 (120 Ah),Subcompact,125,A1,B,16,20,18,1,2,2,246,0,10,10,7,10
2019-01-01,BMW,i3s (120 Ah),Subcompact,135,A1,B,16,20,18,1,2,2,246,0,10,10,7,10
2019-01-01,Chevrolet,Bolt EV,Station wagon: Small,150,A1,B,16,19,17,1,2,2,383,0,10,10,9,10
2019-01-01,Hyundai,IONIQ Electric,Mid-size,88,A1,B,13,17,15,1,1,1,200,0,10,10,4,10
2019-01-01,Hyundai,Kona Electric,Sport utility vehicle: Small,150,A1,B,16,19,17,1,2,2,415,0,10,10,9,10
2019-01-01,Jaguar,I-PACE,Sport utility vehicle: Small,294,A1,B,26,29,27,2,3,3,377,0,10,10,13,10
2019-01-01,Kia,Niro EV,Station wagon: Small,150,A1,B,17,20,18,1,2,2,385,0,10,10,9,10
2019-01-01,Kia,Soul EV,Station wagon: Small,81,A1,B,16,22,19,1,2,2,179,0,10,10,5,10
2019-01-01,Nissan,LEAF (40 kWh),Mid-size,110,A1,B,16,21,18,1,2,2,243,0,10,10,8,10
2019-01-01,Nissan,LEAF S PLUS,Mid-size,160,A1,B,17,21,19,2,2,2,363,0,10,10,11,10
2019-01-01,Nissan,LEAF SV/SL PLUS,Mid-size,160,A1,B,18,22,20,2,2,2,349,0,10,10,11,10
2019-01-01,smart EQ,fortwo cabriolet,Two-seater,60,A1,B,18,23,20,2,2,2,92,0,10,10,3,10
2019-01-01,smart EQ,fortwo coupe,Two-seater,60,A1,B,16,22,19,1,2,2,93,0,10,10,3,10
2019-01-01,Tesla,Model 3 Standard Range,Mid-size,211,A1,B,14,16,15,1,1,1,151,0,10,10,3,10
2019-01-01,Tesla,Model 3 Standard Range Plus,Mid-size,211,A1,B,14,16,15,1,1,1,386,0,10,10,8,10
2019-01-01,Tesla,Model 3 Mid Range,Mid-size,211,A1,B,16,17,17,1,2,1,425,0,10,10,10,10
2019-01-01,Tesla,Model 3 Long Range,Mid-size,211,A1,B,15,17,16,1,1,1,499,0,10,10,10,10
2019-01-01,Tesla,Model 3 Long Range AWD,Mid-size,335,A1,B,17,18,18,2,2,2,499,0,10,10,10,10
2019-01-01,Tesla,Model 3 Long Range AWD Performance,Mid-size,358,A1,B,17,18,18,2,2,2,499,0,10,10,10,10
2019-01-01,Tesla,Model S 75D,Full-size,386,A1,B,20,19,20,2,2,2,417,0,10,10,12,10
2019-01-01,Tesla,Model S 100D,Full-size,386,A1,B,20,20,20,2,2,2,539,0,10,10,12,10
2019-01-01,Tesla,Model S P100D,Full-size,568,A1,B,22,20,21,2,2,2,507,0,10,10,12,10
2019-01-01,Tesla,Model S Standard Range,Full-size,398,A1,B,18,20,19,2,2,2,459,0,10,10,9,10
2019-01-01,Tesla,Model S Long Range,Full-size,398,A1,B,18,19,18,2,2,2,595,0,10,10,12,10
2019-01-01,Tesla,"\"Model S Performance (19\"\" Wheels)\"",Full-size,580,A1,B,20,20,20,2,2,2,555,0,10,10,12,10
2019-01-01,Tesla,"\"Model S Performance (21\"\" Wheels)\"",Full-size,580,A1,B,21,21,21,2,2,2,523,0,10,10,12,10
2019-01-01,Tesla,Model X 75D,Sport utility vehicle: Standard,386,A1,B,23,21,22,2,2,2,383,0,10,10,12,10
2019-01-01,Tesla,Model X 100D,Sport utility vehicle: Standard,386,A1,B,24,23,24,2,2,2,475,0,10,10,12,10
2019-01-01,Tesla,Model X P100D,Sport utility vehicle: Standard,568,A1,B,25,23,24,2,2,2,465,0,10,10,12,10
2019-01-01,Tesla,Model X Standard Range,Sport utility vehicle: Standard,398,A1,B,20,21,20,2,2,2,410,0,10,10,9,10
2019-01-01,Tesla,Model X Long Range,Sport utility vehicle: Standard,398,A1,B,21,22,21,2,2,2,523,0,10,10,12,10
2019-01-01,Tesla,"\"Model X Performance (20\"\" Wheels)\"",Sport utility vehicle: Standard,580,A1,B,23,23,23,2,2,2,491,0,10,10,12,10
2019-01-01,Tesla,"\"Model X Performance (22\"\" Wheels)\"",Sport utility vehicle: Standard,580,A1,B,26,27,26,2,3,3,435,0,10,10,12,10
2019-01-01,Volkswagen,e-Golf,Compact,100,A1,B,16,18,17,1,2,2,201,0,10,10,5,10
2020-01-01,Audi,e-tron Sportback 55 quattro,Sport utility vehicle: Standard,300,A1,B,27,26,27,3,3,3,351,0,10,10,10,10
2020-01-01,BMW,i3 (120 Ah),Subcompact,125,A1,B,16,20,18,1,2,2,246,0,10,10,7,10
2020-01-01,BMW,i3s (120 Ah),Subcompact,135,A1,B,16,20,18,1,2,2,246,0,10,10,7,10
2020-01-01,Chevrolet,Bolt EV,Station wagon: Small,150,A1,B,16,19,17,1,2,2,417,0,10,10,10,10
2020-01-01,Hyundai,IONIQ Electric,Mid-size,100,A1,B,14,17,15,1,1,1,274,0,10,10,5,10
2020-01-01,Hyundai,Kona Electric,Sport utility vehicle: Small,150,A1,B,16,19,17,1,2,2,415,0,10,10,9,10
2020-01-01,Jaguar,I-PACE,Sport utility vehicle: Small,294,A1,B,26,29,27,2,3,3,377,0,10,10,13,10
2020-01-01,Kia,Niro EV,Station wagon: Small,150,A1,B,17,20,18,1,2,2,385,0,10,10,9,10
2020-01-01,Kia,Soul EV (120 Ah),Station wagon: Small,150,A1,B,15,20,18,1,2,2,248,0,10,10,6,10
2020-01-01,Kia,Soul EV (180 Ah),Station wagon: Small,150,A1,B,16,21,18,1,2,2,383,0,10,10,9,10
2020-01-01,MINI,Cooper SE 3 Door,Subcompact,135,A1,B,18,20,19,2,2,2,177,0,10,10,4,10
2020-01-01,Nissan,LEAF (40 kWh),Mid-size,110,A1,B,17,21,18,1,2,2,240,0,10,10,8,10
2020-01-01,Nissan,LEAF S PLUS,Mid-size,160,A1,B,17,21,19,2,2,2,363,0,10,10,11,10
2020-01-01,Nissan,LEAF SV/SL PLUS,Mid-size,160,A1,B,18,22,20,2,2,2,349,0,10,10,11,10
2020-01-01,Porsche,Taycan 4S (Performance Battery Plus),Compact,360,A2,B,30,29,30,3,3,3,327,0,10,10,10,10
2020-01-01,Porsche,Taycan Turbo,Compact,460,A2,B,30,29,30,3,3,3,323,0,10,10,10,10
2020-01-01,Porsche,Taycan Turbo S,Compact,460,A2,B,31,30,31,3,3,3,309,0,10,10,10,10
2020-01-01,Tesla,Model 3 Standard Range,Mid-size,211,A1,B,14,16,15,1,1,1,151,0,10,10,3,10
2020-01-01,Tesla,Model 3 Standard Range Plus,Mid-size,211,A1,B,14,15,14,1,1,1,402,0,10,10,8,10
2020-01-01,Tesla,Model 3 Mid Range,Mid-size,211,A1,B,16,17,17,1,2,1,425,0,10,10,10,10
2020-01-01,Tesla,Model 3 Long Range,Mid-size,211,A1,B,15,17,16,1,1,1,531,0,10,10,10,10
2020-01-01,Tesla,Model 3 Long Range AWD,Mid-size,335,A1,B,16,18,17,1,2,2,518,0,10,10,10,10
2020-01-01,Tesla,"\"Model 3 Long Range AWD Performance (18\"\" Wheels)\"",Mid-size,358,A1,B,16,18,17,1,2,2,518,0,10,10,10,10
2020-01-01,Tesla,"\"Model 3 Long Range AWD Performance (19\"\" Wheels)\"",Mid-size,358,A1,B,17,18,18,2,2,2,489,0,10,10,10,10
2020-01-01,Tesla,"\"Model 3 Long Range AWD Performance (20\"\" Wheels)\"",Mid-size,358,A1,B,17,19,18,2,2,2,481,0,10,10,10,10
2020-01-01,Tesla,Model S Standard Range,Full-size,398,A1,B,18,20,19,2,2,2,462,0,10,10,9,10
2020-01-01,Tesla,Model S Long Range,Full-size,398,A1,B,18,19,18,2,2,2,600,0,10,10,12,10
2020-01-01,Tesla,Model S Long Range Plus (pre-15/6/20),Full-size,398,A1,B,17,18,18,1,2,2,629,0,10,10,12,10
2020-01-01,Tesla,Model S Long Range Plus,Full-size,398,A1,B,17,18,17,1,2,2,647,0,10,10,12,10
2020-01-01,Tesla,"\"Model S Performance (19\"\" Wheels)\"",Full-size,580,A1,B,20,20,20,2,2,2,560,0,10,10,12,10
2020-01-01,Tesla,"\"Model S Performance (21\"\" Wheels)\"",Full-size,580,A1,B,21,21,21,2,2,2,525,0,10,10,12,10
2020-01-01,Tesla,Model X Standard Range,Sport utility vehicle: Standard,398,A1,B,20,21,20,2,2,2,415,0,10,10,9,10
2020-01-01,Tesla,Model X Long Range,Sport utility vehicle: Standard,398,A1,B,21,22,21,2,2,2,528,0,10,10,12,10
2020-01-01,Tesla,Model X Long Range Plus,Sport utility vehicle: Standard,398,A1,B,19,20,20,2,2,2,565,0,10,10,12,10
2020-01-01,Tesla,"\"Model X Performance (20\"\" Wheels)\"",Sport utility vehicle: Standard,580,A1,B,23,23,23,2,2,2,491,0,10,10,12,10
2020-01-01,Tesla,"\"Model X Performance (22\"\" Wheels)\"",Sport utility vehicle: Standard,580,A1,B,26,27,26,2,3,3,438,0,10,10,12,10
2020-01-01,Tesla,Model Y Long Range AWD,Sport utility vehicle: Small,358,A1,B,16,18,17,1,2,1,509,0,10,10,10,10
2020-01-01,Tesla,Model Y Performance,Sport utility vehicle: Small,358,A1,B,16,18,17,1,2,2,507,0,10,10,10,10
2020-01-01,Tesla,"\"Model Y Performance (21\"\" Wheels)\"",Sport utility vehicle: Small,358,A1,B,18,19,18,2,2,2,468,0,10,10,10,10
2020-01-01,Volkswagen,e-Golf,Compact,100,A1,B,17,19,18,1,2,2,198,0,10,10,5,10
2021-01-01,Audi,e-tron 55 quattro,Sport utility vehicle: Standard,300,A1,B,26,27,27,3,3,3,357,0,10,10,10,10
2021-01-01,Audi,e-tron Sportback 55 quattro,Sport utility vehicle: Standard,300,A1,B,27,27,27,3,3,3,351,0,10,10,10,10
2021-01-01,BMW,i3 (120 Ah),Subcompact,125,A1,B,16,20,18,1,2,2,246,0,10,10,7,10
2021-01-01,BMW,i3s (120 Ah),Subcompact,135,A1,B,16,20,18,1,2,2,246,0,10,10,7,10
2021-01-01,Chevrolet,Bolt EV,Station wagon: Small,150,A1,B,16,19,17,1,2,2,417,0,10,10,10,10
2021-01-01,Ford,Mustang Mach-E Standard Range,Station wagon: Small,198,A1,B,19,22,21,2,2,2,370,0,10,10,8,10
